Timestamp,Source,Destination,PacketSize,Label
2.10560638,10.1.1.1,10.1.5.4,540,DDoS
48.00460244,10.1.0.4,10.1.0.1,56,Benign
66.00350198,10.1.0.4,10.1.0.1,56,Benign
1.684495249,10.1.0.1,10.1.5.4,540,DDoS
3.405673606,10.1.1.1,10.1.5.4,540,DDoS
21.00500271,10.1.0.4,10.1.0.1,56,Benign
9.004502944,10.1.0.4,10.1.0.1,56,Benign
0.005324787,10.1.4.1,10.1.5.4,540,DDoS
3.321028692,10.1.3.1,10.1.5.4,540,DDoS
9.002101334,10.1.0.4,10.1.0.1,56,Benign
3.005303174,10.1.0.4,10.1.0.1,56,Benign
93.00170115,10.1.0.4,10.1.0.1,56,Benign
0.35225514,10.1.0.1,10.1.5.4,540,DDoS
0.772857952,10.1.3.1,10.1.5.4,540,DDoS
0.876132261,10.1.2.1,10.1.5.4,540,DDoS
0.928151334,10.1.1.1,10.1.5.4,540,DDoS
0.09011178,10.1.0.1,10.1.5.4,540,DDoS
0.003901794,10.1.0.4,10.1.0.1,56,Benign
93.00540262,10.1.0.4,10.1.0.1,56,Benign
2.677548663,10.1.3.1,10.1.5.4,540,DDoS
0.691800709,10.1.4.1,10.1.5.4,540,DDoS
0.231001834,10.1.4.1,10.1.5.4,540,DDoS
2.954835184,10.1.4.1,10.1.5.4,540,DDoS
54.00530262,10.1.0.4,10.1.0.1,56,Benign
93.00290133,10.1.0.4,10.1.0.1,56,Benign
3.025298214,10.1.2.1,10.1.5.4,540,DDoS
0.044137972,10.1.2.1,10.1.5.4,540,DDoS
1.770963997,10.1.1.1,10.1.5.4,540,DDoS
4.081654035,10.1.2.1,10.1.5.4,540,DDoS
3.033714355,10.1.0.1,10.1.5.4,540,DDoS
1.26566091,10.1.3.1,10.1.5.4,540,DDoS
90.00450221,10.1.0.4,10.1.0.1,56,Benign
4.073462055,10.1.2.1,10.1.5.4,540,DDoS
4.09216153,10.1.1.1,10.1.5.4,540,DDoS
21.0004006,10.1.0.4,10.1.0.1,56,Benign
93.00570262,10.1.0.4,10.1.0.1,56,Benign
66.0060029,10.1.0.4,10.1.0.1,56,Benign
0.445222111,10.1.4.1,10.1.5.4,540,DDoS
93.00610317,10.1.0.4,10.1.0.1,56,Benign
2.234772144,10.1.3.1,10.1.5.4,540,DDoS
3.983759874,10.1.2.1,10.1.5.4,540,DDoS
9.00280184,10.1.0.4,10.1.0.1,56,Benign
2.657478312,10.1.1.1,10.1.5.4,540,DDoS
90.00110051,10.1.0.4,10.1.0.1,56,Benign
54.00580294,10.1.0.4,10.1.0.1,56,Benign
0.161196568,10.1.0.1,10.1.5.4,540,DDoS
0.554994643,10.1.4.1,10.1.5.4,540,DDoS
48.00550253,10.1.0.4,10.1.0.1,56,Benign
9.005703174,10.1.0.4,10.1.0.1,56,Benign
3.004302254,10.1.0.4,10.1.0.1,56,Benign
3.003502116,10.1.0.4,10.1.0.1,56,Benign
90.00110074,10.1.0.4,10.1.0.1,56,Benign
0.002601196,10.1.0.4,10.1.0.1,56,Benign
0.00100069,10.1.0.4,10.1.0.1,56,Benign
1.991060739,10.1.4.1,10.1.5.4,540,DDoS
2.647647936,10.1.4.1,10.1.5.4,540,DDoS
2.824129744,10.1.3.1,10.1.5.4,540,DDoS
66.00140064,10.1.0.4,10.1.0.1,56,Benign
9.003202346,10.1.0.4,10.1.0.1,56,Benign
3.990723057,10.1.0.1,10.1.5.4,540,DDoS
45.00280129,10.1.0.4,10.1.0.1,56,Benign
54.00620317,10.1.0.4,10.1.0.1,56,Benign
93.00040018,10.1.0.4,10.1.0.1,56,Benign
